Consent_Page.started,Consent_Page.stopped,consent_resp.keys,consent_resp.rt,consent_resp.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,pre_questionairre.started,pre_questionairre.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,pre_questionare2.started,pre_questionare2.stopped,reading_behaviour_response.keys,reading_behaviour_response.rt,reading_behaviour_response.duration,first_text.started,first_text.stopped,first_text_key.keys,first_text_key.rt,first_text_key.duration,first_loop.thisRepN,first_loop.thisTrialN,first_loop.thisN,first_loop.thisIndex,first_loop.ran,question,answer,perspective,source_type,first_AI_judgment.started,first_AI_judgment.stopped,first_AI_key.keys,first_AI_key.rt,first_AI_key.duration,first_check.started,first_check.stopped,first_check_key.keys,first_check_key.rt,first_check_key.duration,ai_resp_clean,check_resp_clean,trust_condition,trust_feedback.started,trust_feedback.stopped,feedback_key.keys,feedback_key.rt,feedback_key.duration,second_AI_judgment.started,second_AI_judgment.stopped,key_resp.keys,key_resp.rt,key_resp.duration,second_AI_judgment_2.started,second_AI_judgment_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,second_check.started,second_check.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,end_screen.started,end_screen.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,thank_you.started,thank_you.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration
0.0002,3.8526,space,3.8244,0.0003,460830,001,2026-03-29_21h02.59.255,DeepTrust,2025.1.1,Win32,142.8571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,460830,001,2026-03-29_21h02.59.255,DeepTrust,2025.1.1,Win32,142.8571429,3.8533,11.9156,4,8.0538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,460830,001,2026-03-29_21h02.59.255,DeepTrust,2025.1.1,Win32,142.8571429,,,,,,11.9161,18.7953,3,6.8704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,460830,001,2026-03-29_21h02.59.255,DeepTrust,2025.1.1,Win32,142.8571429,,,,,,,,,,,18.8115,70.6361,space,51.8103,0.0026,0,0,0,0,1,"Why is an interdisciplinary approach important in the Human and AI master programme that brings together psychology, philosophy, and computer science?  -- PRESS SPACE TO CONITNUE--","From a technical perspective, an interdisciplinary Human and AI programme is crucial because technical systems never exist in a vacuum. We can design elegant algorithms, but once they are deployed, they interact with human attention, bias, and social norms. Working with psychologists helps us understand how people actually interpret model outputs, when they over-trust or under-trust them, and how interfaces can support better decisions. Philosophy contributes by clarifying normative questions: what does it mean for an AI system to be fair, transparent, or accountable, and which values should be encoded in design choices. Without these perspectives, computer scientists risk optimising for metrics that are technically impressive but socially harmful. Interdisciplinarity forces us to think not just about what AI can do, but what it should do and for whom.",CS,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,460830,001,2026-03-29_21h02.59.255,DeepTrust,2025.1.1,Win32,142.8571429,,,,,,,,,,,,,,,,,,,,,,,,,70.637,109.7376,h,39.0934,9.99999E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,460830,001,2026-03-29_21h02.59.255,DeepTrust,2025.1.1,Win32,142.8571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.738,117.4608,y,7.7188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,460830,001,2026-03-29_21h02.59.255,DeepTrust,2025.1.1,Win32,142.8571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h,y,raised,117.4612,125.7684,space,8.2987,0.0014,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,460830,001,2026-03-29_21h02.59.255,DeepTrust,2025.1.1,Win32,142.8571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.7689,147.493,space,21.7158,,,,,,,,,,,,,,,,,,,,,
,,,,,460830,001,2026-03-29_21h02.59.255,DeepTrust,2025.1.1,Win32,142.8571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.4934,156.1857,h,8.6866,,,,,,,,,,,,,,,,
,,,,,460830,001,2026-03-29_21h02.59.255,DeepTrust,2025.1.1,Win32,142.8571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.186,159.3656,y,3.1758,,,,,,,,,,,
,,,,,460830,001,2026-03-29_21h02.59.255,DeepTrust,2025.1.1,Win32,142.8571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.3659,208.5973,space,49.2227,,,,,,
,,,,,460830,001,2026-03-29_21h02.59.255,DeepTrust,2025.1.1,Win32,142.8571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.5978,210.8036,space,2.1976,
